team,avg_points,std_points,prob_win_league,prob_top4,prob_relegation,avg_position
Arsenal,56.3055,6.162075117198751,0.3883,0.9137,0.0,2.285
Manchester City,55.6598,6.250061116501182,0.3848,0.9061,0.0001,2.3583
Liverpool,51.2514,6.315979578814359,0.1522,0.7552,0.0002,3.5729
Chelsea,44.5812,6.503676388013167,0.026,0.3186,0.0105,6.7912
Crystal Palace,43.37,6.419633945950501,0.0189,0.2857,0.0133,7.149
Newcastle Utd,40.8559,6.380151658855768,0.0056,0.1403,0.0372,9.1859
Fulham,40.112,6.391717765984352,0.0057,0.1327,0.0395,9.3416
Tottenham,39.7863,6.54307514170516,0.006,0.129,0.0488,9.4946
Brentford,40.0064,6.6660302309545525,0.0051,0.1281,0.0561,9.6387
Brighton,37.3352,6.1851306340286785,0.0019,0.0618,0.0856,11.1037
Aston Villa,36.6144,6.295912375502061,0.0011,0.0442,0.1216,11.9066
Bournemouth,36.6938,6.433167303902487,0.0016,0.0484,0.1259,11.9126
Manchester Utd,36.5472,6.379715680185129,0.0008,0.0392,0.1396,12.1432
Everton,35.1576,6.2085233542284435,0.0007,0.0291,0.1659,12.7808
Nott'ham Forest,34.7248,6.189544810404073,0.0006,0.0288,0.1648,12.8033
Sunderland,33.3159,6.315529050681344,0.0004,0.0186,0.2483,13.9448
Wolves,32.1005,6.2385575055456535,0.0003,0.0091,0.3218,14.9218
Leeds United,30.8767,6.225005791965178,0.0,0.0055,0.4145,15.6963
West Ham,30.0223,6.024699387521339,0.0,0.0042,0.4341,15.953
Burnley,27.7433,6.088596316886184,0.0,0.0017,0.5722,17.0167
